Country,State,Year,As On Date,Figures Type,Additional Info,Total Police Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Percentage Of Total Police Training Expenditure To Total Police Expenditure (%) (UOM:%(Percentage))
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,127.54,,3.34,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1.61,-125.93,0.56,-2.78,34.78
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1.61,,0.56,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,151.86,150.25,0.06,-0.5,0.04
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,151.86,,0.06,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,177.23,25.37,0.2,0.14,0.11
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,177.23,,0.2,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,150.07,-27.16,0.51,0.31,0.34
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,150.07,,0.51,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,165.54,15.47,1.88,1.37,1.14
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,165.54,,1.88,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,197.03,31.49,2.21,0.33,1.12
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,197.03,,2.21,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,277.72,80.69,2.72,0.51,0.98
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,277.72,,2.72,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,227.7,-50.05,2.24,0.32,0.98
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,227.7,,2.24,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,252.06,24.36,2.32,0.08,2.06
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,252.06,,2.32,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,283.95,31.89,2.59,0.27,0.91
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,370.71,,3.33,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,320.46,-50.25,2.98,-0.35,0.93
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,415.86,,3.78,,
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,300.63,-115.23,2.94,-0.84,0.98
